Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
192607,1.44,13.9,4.7,-1.14,2.9,0.83,0.12,1.85,7.04,2.14
192608,3.99,3.7,2.8,3.43,2.66,2.17,-0.72,4.17,-1.7,4.35
192609,1.15,4.98,1.17,-3.3,-0.39,2.42,0.21,0.69,2.05,0.31
192610,-1.24,-8.39,-3.65,-0.78,-4.58,-0.11,-2.29,-0.57,-3.27,-2.85
192611,5.21,-0.17,4.27,0.01,4.71,1.63,6.45,5.43,4.4,2.13
192612,0.8,9.9,3.63,2.82,-0.04,1.99,0.62,0.09,-0.18,3.46
192701,-0.65,-0.92,-0.07,1.28,-1.13,1.88,-2.54,5.07,-1.79,1.5
192702,3.36,8.96,5.81,1.47,4.45,3.97,3.62,1.71,4.54,5.07
192703,2.77,1.62,1.45,-6.04,1.47,5.62,-0.46,1.01,0.37,1.17
192704,3.51,3.14,0.76,-5.17,5.4,-2.07,4.48,2.74,1.71,0.86
192705,8.3,5.95,5.08,4.78,7.37,3.35,2.34,4.13,9.23,6.56
192706,-1.97,-3.02,-2.81,-3.15,3.29,-2.16,-0.61,0.54,-3.58,-2.17
192707,4.84,13.1,12.08,2.86,12.37,3.73,9.86,9.84,5.5,6.09
192708,2.73,7.02,3.04,-0.04,5.51,0.43,7.35,0.27,3.26,-1.01
192709,5.27,5.66,4.44,3.31,1.21,6.55,7.5,5.66,8.29,4.58
192710,-0.64,-4.41,-6.7,-2.07,-7.24,-2.09,-4.94,5.14,-4.35,-3.83
192711,6.32,6.41,10.85,4.2,10.76,2.83,11.69,3.68,6.33,4.5
192712,2.5,7.78,3.08,-0.24,1.24,1.33,-0.68,-0.47,2.24,1.95
192801,0.47,-3.34,-0.57,-1.88,-0.39,0.29,-0.88,2.7,5.88,-0.95
192802,-3.97,1.28,-1.89,-0.18,-0.46,-0.3,-1.12,-3.44,-0.77,-2.01
192803,4.4,27.5,8.25,5.62,19.44,1.97,8.47,9.94,6.65,5.99
192804,-0.48,1.46,1.51,15.25,2.23,3.13,0.02,2.35,10.96,4.33
192805,0.9,5.65,3.52,-5.35,2.3,6.57,3.81,9.3,1.5,-0.01
192806,-4.4,-4.13,-4.95,-4.08,-5,-5.21,-3.4,-3.12,-3.44,-4.44
192807,1.68,0.98,1.99,1.05,0.65,-1.28,5.45,2.4,-1.23,-0.35
192808,6.11,9.1,8.68,2.41,9.75,4.55,13.56,14.72,6.48,4.75
192809,1.17,7.89,4.18,5.34,0.67,0.14,0.16,-1.14,3.79,1.09
192810,0.9,0.07,4.33,2.04,1.85,2.97,5.89,0.05,-1.91,-0.5
192811,6.59,4.53,13.1,17.28,19.56,6.68,15.31,5.05,22.01,10
192812,-0.31,-1.22,3.14,-4.36,7.23,-0.36,-1.32,-0.46,1.54,0.39
192901,3.22,1.31,11.01,-7.59,10.46,13.38,-3.88,3.41,13.3,5.59
192902,-2.54,0,3.42,-0.17,-1.13,-1.15,-2.41,0.04,-1.99,0.04
192903,-4.66,-1.88,-1.84,11.14,4.84,4.32,-5.13,-1.5,-3.18,-2.2
192904,1.78,-0.98,2.3,0.74,1.78,3.39,3.76,1.48,5.02,0.73
192905,-3.94,-15.16,-9.79,-5.59,0.34,-8.77,-8.67,-7.89,4.68,-0.29
192906,5.33,7.01,13.28,1.14,17.21,13.8,9.51,4.53,23.48,5.8
192907,3.22,-2.97,4.24,0.17,9.24,13.68,1.04,2.6,9.17,6.58
192908,4.76,3.03,9.38,11.37,12.54,10.98,7.82,3.13,9.01,7.67
192909,-3.56,-8.37,-7.18,-3.04,-7.56,-1.38,-5.48,-7.04,0.92,-6.31
192910,-10.75,-28.99,-19.74,-10.17,-27.77,-15.39,-24,-18.04,-29.72,-12.07
192911,-8.45,-17.35,-14.03,-6.39,-19.24,-9.47,-12.33,-7.85,-15.37,-9.43
192912,0.66,4.92,1.49,-1.17,10.8,1.06,-6.05,1.09,8.16,-0.74
193001,5.77,5.96,6.91,-0.75,10.61,1.2,4.74,2.55,8.51,5.13
193002,2.19,2.44,2.14,-4.51,7.75,7.06,-5.14,2.29,8.65,3.27
193003,2.13,11.37,6.88,18.07,8.15,8.88,-2.45,6.37,9.85,4.73
193004,0.54,-7.83,-7.39,6.46,1.97,-4.52,2.63,-1.27,3.31,-6.39
193005,1.34,4.2,-1.79,-3.73,-4.4,0.4,-0.17,-1.52,-1.28,-1
193006,-11.06,-22.35,-16.13,-15.51,-19.75,-8.32,-16.29,-11.93,-19.3,-11.88
193007,3.13,12.11,4.75,5.19,4.07,1.27,2.69,6.52,4.08,3.42
193008,2.01,-1.89,-0.06,-3.15,2.21,1.74,4.99,7.77,1.19,-0.38
193009,-8.91,-16.81,-14.44,-15.52,-18.31,-5.3,-10.94,-8.75,-11.94,-10.6
193010,-4.98,-11.64,-9.61,-8.43,-17.35,-4.12,-8.63,-4.37,-8.29,-8.45
193011,0.18,5.33,-0.34,-3.74,-3.24,-3.27,2.78,-3.11,-8.76,-5.17
193012,-4.62,-1.27,-8.25,-12.52,-10.78,-3.79,-13.45,-6.92,-3.68,-8.89
193101,5.38,8.02,3.52,5.86,5.25,4.79,7.2,8.24,5.61,11.96
193102,6.81,17.42,12.92,5.97,22.38,5.95,14.8,7.83,15.31,5.49
